date,open,high,low,close,volume
2015-01-02,74.75,75.0,73.59,72.62,1274410
2015-01-05,72.13,73.6,72.76,69.52,2692360
2015-01-06,71.56,70.49,70.31,69.22,2068047
2015-01-07,70.21,70.53,69.81,72.36,1966951
2015-01-08,70.6,74.16,71.84,72.19,2430136
2015-01-09,71.57,73.08,70.24,72.18,2353852
2015-01-12,72.74,71.24,71.77,72.03,2251343
2015-01-13,71.56,70.9,69.79,69.86,4215723
2015-01-14,70.1,70.38,69.02,68.42,4082917
2015-01-15,68.56,68.04,67.66,68.84,2459925
2015-01-16,70.21,69.35,66.7,67.29,3685686
2015-01-20,69.1,68.1,68.72,69.17,3061664
2015-01-21,68.12,69.85,67.0,71.54,3030019
2015-01-22,70.34,72.61,68.68,72.47,1873749
2015-01-23,71.43,72.7,69.07,71.79,1967527
2015-01-26,71.53,72.71,71.28,72.25,1642869
2015-01-27,69.57,73.4,71.37,70.8,2193480
2015-01-28,72.39,70.29,68.23,68.2,2540080
2015-01-29,68.7,72.79,70.87,69.52,1875187
2015-01-30,69.77,71.83,70.33,70.57,1840022
2015-02-02,69.34,71.7,69.19,72.17,2373791
2015-02-03,72.38,75.41,72.04,72.96,3505359
2015-02-04,73.31,74.4,75.88,73.29,2595830
2015-02-05,76.74,78.43,76.63,78.1,2825976
2015-02-06,76.69,77.93,79.22,80.86,3156270
2015-02-09,77.94,78.11,77.95,79.06,2259154
2015-02-10,79.89,80.63,79.39,80.23,2314316
2015-02-11,82.6,80.16,80.31,78.49,1952428
2015-02-12,79.25,80.66,81.68,78.24,2560762
2015-02-13,80.1,79.06,80.41,81.7,1667448
2015-02-17,82.16,80.02,78.0,81.0,1608638
2015-02-18,81.38,81.72,79.0,81.97,1495214
2015-02-19,82.4,79.9,81.41,80.69,1784338
2015-02-20,82.2,82.53,80.48,83.16,2022537
2015-02-23,80.95,80.92,78.97,80.1,1318425
2015-02-24,79.22,81.34,80.41,78.88,1014724
2015-02-25,82.77,81.28,81.69,81.58,1750000
2015-02-26,79.74,83.0,82.29,81.49,896873
2015-02-27,82.48,83.15,79.3,81.52,978907
2015-03-02,79.48,84.28,82.15,81.19,1598535
2015-03-03,83.25,82.57,80.82,82.54,1679709
2015-03-04,83.27,84.68,81.39,81.33,3361158
2015-03-05,82.22,81.58,81.78,80.94,1321018
2015-03-06,82.34,82.8,79.18,80.15,1537540
2015-03-09,81.03,81.47,81.15,82.36,1949071
2015-03-10,80.89,79.17,77.51,78.58,1891016
2015-03-11,80.4,79.93,78.55,78.76,2715920
2015-03-12,79.79,81.13,79.1,79.88,1512439
2015-03-13,78.31,79.32,78.54,77.4,2331003
2015-03-16,79.15,78.96,78.0,80.46,1746582
