date,open,high,low,close,volume
2015-01-02,49.78,49.5,48.52,48.59,5189122
2015-01-05,48.78,49.14,47.53,47.84,7134811
2015-01-06,48.98,47.36,46.09,47.7,7629188
2015-01-07,46.98,48.23,47.16,48.34,7334146
2015-01-08,49.41,48.98,48.47,50.89,6075874
2015-01-09,48.83,49.2,49.0,50.0,4758135
2015-01-12,49.93,49.17,48.37,50.09,5769217
2015-01-13,48.81,48.73,47.77,47.65,6473936
2015-01-14,48.98,48.89,48.68,48.01,6948112
2015-01-15,47.52,47.56,47.96,46.71,4287617
2015-01-16,48.43,47.16,46.68,48.3,9044293
2015-01-20,48.0,47.17,48.51,48.7,9422143
2015-01-21,47.84,49.04,48.31,47.97,6051062
2015-01-22,48.15,49.67,48.73,49.27,7072987
2015-01-23,48.55,48.97,48.11,50.22,6930516
2015-01-26,48.0,48.85,50.06,49.89,4964543
2015-01-27,49.77,48.29,48.42,47.65,6916119
2015-01-28,48.7,49.38,47.3,47.84,6605663
2015-01-29,48.0,48.14,47.27,49.14,6848277
2015-01-30,47.71,47.26,46.5,46.43,8174903
2015-02-02,47.65,48.0,47.17,45.97,8230725
2015-02-03,46.4,47.0,47.32,46.92,7982498
2015-02-04,47.72,47.43,46.85,47.25,7265466
2015-02-05,47.04,48.6,46.41,46.94,5812477
2015-02-06,48.4,48.74,47.71,46.2,7495932
2015-02-09,45.98,47.25,45.41,46.27,7576018
2015-02-10,46.68,47.01,46.05,46.55,8020804
2015-02-11,46.61,48.66,46.15,47.43,8694492
2015-02-12,46.78,46.9,46.5,48.0,11889679
2015-02-13,47.01,47.11,47.54,48.2,7770830
2015-02-17,47.17,47.86,48.09,46.61,7456488
2015-02-18,45.95,48.55,46.47,48.8,8458503
2015-02-19,46.83,48.59,47.96,47.59,6902289
2015-02-20,48.91,48.93,47.81,48.42,7450011
2015-02-23,49.21,49.76,49.16,48.0,4679644
2015-02-24,49.69,49.53,48.21,49.32,5277387
2015-02-25,50.02,49.0,48.55,50.62,7362400
2015-02-26,49.1,49.77,49.28,48.9,6172216
2015-02-27,48.54,48.8,48.87,48.68,7365453
2015-03-02,49.77,51.61,50.15,51.68,11158656
2015-03-03,49.74,50.74,48.96,49.83,7082553
2015-03-04,49.33,49.1,49.89,50.06,5023053
2015-03-05,50.69,51.62,50.6,50.59,6853226
2015-03-06,50.34,50.77,48.4,50.25,7477148
2015-03-09,50.36,50.93,48.55,49.93,6194251
2015-03-10,48.91,48.96,48.58,49.12,7166203
2015-03-11,50.22,48.97,48.13,49.36,7654348
2015-03-12,48.01,50.02,48.7,50.94,6016966
2015-03-13,49.5,50.1,48.78,50.24,7422549
2015-03-16,48.4,50.1,50.21,48.71,8786292
2015-03-17,48.12,48.54,49.09,49.63,6571906
2015-03-18,49.12,50.15,47.85,49.43,9117647
2015-03-19,50.32,50.53,50.54,49.53,13786933
2015-03-20,52.19,53.0,51.86,51.39,30187100
2015-03-23,52.32,52.9,50.7,53.24,10715197
2015-03-24,51.14,53.24,52.3,50.81,7733761
2015-03-25,51.4,51.62,51.03,50.4,8494258
2015-03-26,49.56,51.19,49.81,51.07,9878815
2015-03-27,50.77,52.3,49.68,50.77,4492682
2015-03-30,52.99,52.87,51.17,51.19,5686181
2015-03-31,51.49,52.02,51.14,51.88,6373126
2015-04-01,50.0,51.21,51.55,49.95,6688956
2015-04-02,50.44,50.92,51.3,50.99,3925276
2015-04-06,50.65,51.72,50.89,52.08,5240688
2015-04-07,51.86,51.68,51.81,51.39,4178095
2015-04-08,52.0,52.53,50.9,51.98,6798640
2015-04-09,52.3,52.09,50.3,52.32,5515836
2015-04-10,52.55,51.7,50.67,50.5,6150221
2015-04-13,50.5,50.94,50.3,50.09,7321028
2015-04-14,51.15,51.61,50.07,51.69,5003029
2015-04-15,51.13,50.61,51.32,50.83,5877589
2015-04-16,49.93,50.42,51.9,50.01,4259815
2015-04-17,50.96,51.72,50.92,50.44,6097199
2015-04-20,49.95,51.02,51.47,50.0,6492799
2015-04-21,52.27,52.94,49.98,51.57,5257152
2015-04-22,52.3,52.5,50.44,50.35,4064832
2015-04-23,51.01,50.8,51.1,51.85,4888353
2015-04-24,50.26,51.92,51.08,51.86,4523590
2015-04-27,51.7,53.0,52.31,50.89,5309390
2015-04-28,52.1,51.7,51.1,51.14,6263684
2015-04-29,51.86,52.16,51.82,50.9,5621416
2015-04-30,52.22,50.3,49.75,50.03,6736635
2015-05-01,51.73,52.11,51.13,51.86,7009670
2015-05-04,51.9,51.9,52.41,51.51,4636370
2015-05-05,51.61,50.96,51.78,51.73,5209475
2015-05-06,52.43,51.7,49.85,51.85,5489368
2015-05-07,50.29,52.3,50.34,51.65,5658647
2015-05-08,51.23,52.04,51.76,51.85,5637363
2015-05-11,53.35,51.82,52.01,53.7,5477326
2015-05-12,53.39,53.72,52.9,51.36,4815247
2015-05-13,52.79,52.18,52.4,53.2,4515243
2015-05-14,51.72,52.33,52.42,53.44,5638477
2015-05-15,53.56,52.59,52.16,54.69,8237552
2015-05-18,55.16,54.13,53.13,53.0,5275532
2015-05-19,54.56,54.38,54.02,53.86,6225800
2015-05-20,54.37,53.32,54.68,54.26,5521971
2015-05-21,52.58,54.8,53.5,52.8,5723291
2015-05-22,54.36,54.01,52.55,52.39,5795634
2015-05-26,54.06,52.49,52.48,53.49,5845169
2015-05-27,53.88,52.19,53.37,53.43,9202533
2015-05-28,51.8,53.95,51.9,52.26,5950143
2015-05-29,52.99,53.45,50.82,52.44,5582953
2015-06-01,52.94,52.13,52.99,52.66,5061756
2015-06-02,51.0,52.32,52.84,52.28,5076197
2015-06-03,51.95,52.13,52.05,51.59,4815494
2015-06-04,52.23,51.7,52.06,52.76,4643597
2015-06-05,51.41,53.54,50.82,53.29,3850348
2015-06-08,52.6,53.2,51.79,52.46,4364874
2015-06-09,52.12,52.92,51.57,53.16,3537232
2015-06-10,52.76,54.47,52.21,53.33,6538683
2015-06-11,53.21,53.4,52.21,53.6,6408918
2015-06-12,51.89,53.32,53.64,53.96,4283055
2015-06-15,51.74,54.38,51.47,51.73,4964405
2015-06-16,52.21,52.77,52.11,54.13,5077444
2015-06-17,54.39,53.43,54.25,53.47,4233338
2015-06-18,52.59,55.64,52.99,55.0,5919815
2015-06-19,54.86,53.66,53.52,54.44,7288319
2015-06-22,55.98,54.92,53.74,55.8,4190838
2015-06-23,55.2,53.98,53.48,54.0,6186123
2015-06-24,55.5,55.34,55.53,55.76,5072554
2015-06-25,55.25,54.24,54.72,53.53,11076916
2015-06-26,56.06,56.58,52.87,54.86,20442219
2015-06-29,56.56,56.23,55.08,55.2,9146165
2015-06-30,55.56,54.46,56.1,55.3,7696403
2015-07-01,55.17,55.8,56.7,55.75,5938378
2015-07-02,55.3,57.44,55.07,55.23,5938247
2015-07-06,56.69,57.18,55.96,57.47,5034637
2015-07-07,57.5,56.34,55.1,56.73,7498624
2015-07-08,56.07,57.71,57.0,57.11,6988151
2015-07-09,56.8,57.25,56.2,55.91,6342661
2015-07-10,56.82,57.8,55.0,55.47,5224740
2015-07-13,57.46,57.08,56.2,56.39,5138705
2015-07-14,56.82,57.68,57.43,56.73,5623463
2015-07-15,57.0,56.2,57.48,57.52,5193381
2015-07-16,56.56,58.29,56.82,57.31,4443520
2015-07-17,58.31,59.09,58.09,58.7,4641012
2015-07-20,57.49,57.47,57.12,56.85,6141743
2015-07-21,56.96,59.6,58.32,56.8,4627220
2015-07-22,56.84,59.63,58.02,59.44,6122248
2015-07-23,59.02,58.12,59.37,59.0,6838244
2015-07-24,57.86,59.69,58.39,56.6,6045936
2015-07-27,57.1,58.75,56.13,56.75,6850121
2015-07-28,56.38,58.67,58.02,59.02,6954373
2015-07-29,58.51,60.38,57.9,57.5,7174300
2015-07-30,58.19,59.4,59.02,59.45,5661762
2015-07-31,58.1,60.05,58.08,60.4,5266725
2015-08-03,58.56,60.0,58.6,58.86,5145241
2015-08-04,60.08,60.54,58.82,59.62,5406769
2015-08-05,60.61,60.62,59.16,59.75,7182468
2015-08-06,61.1,60.56,57.7,60.1,6463387
2015-08-07,59.03,59.29,59.26,57.67,5929324
2015-08-10,58.6,59.64,59.48,58.93,4788963
2015-08-11,58.26,58.8,59.28,57.29,5223859
2015-08-12,57.14,57.03,57.33,58.51,7532967
2015-08-13,57.45,59.31,58.09,59.1,5979315
2015-08-14,59.4,59.7,57.38,58.97,4908187
2015-08-17,58.09,58.07,57.08,58.53,3933924
2015-08-18,59.56,59.68,57.5,58.21,3693077
2015-08-19,59.0,60.07,58.29,57.48,6466399
2015-08-20,59.0,60.08,58.75,56.22,6547964
2015-08-21,57.41,55.92,55.69,54.76,15993304
2015-08-24,52.18,55.78,48.18,52.58,19969102
2015-08-25,56.22,54.93,52.02,53.91,13778005
2015-08-26,55.81,56.37,53.06,56.12,15328957
2015-08-27,56.13,58.13,55.99,58.37,13625643
2015-08-28,58.2,57.1,56.24,58.05,7821037
2015-08-31,57.1,56.39,57.29,57.94,7424368
2015-09-01,55.24,56.13,55.17,54.4,9475914
2015-09-02,56.7,57.59,55.7,55.99,8821189
2015-09-03,57.85,56.27,56.25,56.33,6135588
