date,open,high,low,close,volume
2015-01-02,70.51,69.9,69.37,70.43,1541300
2015-01-05,67.76,69.11,67.41,66.69,2742200
2015-01-06,66.23,69.45,67.35,67.24,4260140
2015-01-07,68.07,69.8,68.87,68.62,1858408
2015-01-08,68.7,68.33,69.7,68.9,2148876
2015-01-09,69.01,68.96,66.0,66.86,3030021
2015-01-12,68.59,67.03,66.75,67.06,3020133
2015-01-13,68.68,69.35,66.1,65.59,2266483
2015-01-14,65.81,66.18,63.97,65.54,2177830
2015-01-15,67.09,67.24,64.64,65.81,1990435
2015-01-16,65.04,64.61,66.23,65.1,2003539
2015-01-20,66.77,65.1,66.89,65.23,1342261
2015-01-21,64.79,65.86,65.32,67.5,1640104
2015-01-22,66.3,68.04,64.54,64.89,2555557
2015-01-23,66.89,68.24,64.85,65.85,1935577
2015-01-26,65.3,67.25,65.64,66.77,1610290
2015-01-27,66.73,65.86,65.0,66.14,1344607
2015-01-28,67.17,67.48,64.05,64.35,2147917
2015-01-29,63.95,64.9,65.02,64.4,3071702
2015-01-30,65.0,63.66,62.53,60.4,4977867
2015-02-02,61.61,62.76,61.99,63.21,3510176
2015-02-03,62.44,65.87,63.2,65.32,2805456
2015-02-04,63.38,65.38,63.35,64.94,2012730
2015-02-05,65.09,65.06,62.37,64.58,2351068
2015-02-06,63.27,65.41,62.84,63.04,1907363
2015-02-09,63.03,64.48,63.51,63.75,1666238
2015-02-10,65.93,65.46,65.2,64.09,1978397
2015-02-11,65.52,65.5,63.77,63.94,2098191
2015-02-12,63.8,65.38,63.51,65.36,1237379
2015-02-13,63.72,66.88,64.85,65.25,1525482
2015-02-17,64.44,67.11,64.92,67.49,1147591
2015-02-18,67.4,66.78,65.9,65.7,1020456
2015-02-19,64.7,67.43,67.0,67.2,1385186
2015-02-20,64.95,64.9,63.6,66.31,1730818
2015-02-23,66.0,65.17,65.4,66.03,1666009
2015-02-24,64.54,66.91,65.51,65.47,1263725
2015-02-25,64.61,65.08,65.44,67.62,1780307
2015-02-26,67.77,67.01,64.67,67.43,1507993
2015-02-27,67.47,64.88,66.83,65.56,1536214
2015-03-02,65.82,68.14,64.32,67.66,2152382
2015-03-03,67.29,65.95,65.23,65.47,1143502
2015-03-04,65.0,65.25,64.97,64.81,2392013
2015-03-05,63.47,64.09,65.23,62.6,1683102
2015-03-06,63.93,64.69,63.82,63.78,1963199
2015-03-09,62.26,62.83,63.06,65.09,1865114
2015-03-10,63.47,62.68,61.4,63.1,1677908
2015-03-11,62.4,63.67,62.02,61.83,1911858
2015-03-12,63.22,62.77,62.66,64.24,1094092
2015-03-13,63.78,62.5,63.15,62.71,1325776
2015-03-16,63.78,65.5,62.15,64.29,1234611
2015-03-17,64.3,63.33,64.48,63.6,1066902
2015-03-18,65.25,66.1,64.4,66.32,2193484
2015-03-19,66.27,64.31,63.5,62.64,1310739
2015-03-20,66.18,64.5,64.53,66.3,2892756
2015-03-23,66.15,64.3,63.86,66.01,1725371
2015-03-24,66.76,65.76,66.28,65.23,1661160
2015-03-25,65.64,65.41,65.48,65.2,1263686
2015-03-26,62.7,66.02,64.18,64.04,1719322
2015-03-27,63.0,64.16,64.3,62.81,1322856
2015-03-30,64.56,64.3,65.2,64.01,1042417
2015-03-31,65.97,64.6,65.18,63.55,1652805
2015-04-01,64.78,64.53,63.32,64.0,1343144
2015-04-02,64.4,62.62,63.19,61.2,2681271
2015-04-06,63.16,65.45,62.1,64.92,1545083
2015-04-07,64.7,64.72,62.48,63.37,1296571
2015-04-08,64.27,64.18,65.1,65.06,1551500
2015-04-09,63.85,65.22,64.0,63.63,1745620
2015-04-10,64.38,63.98,63.51,65.5,1128828
2015-04-13,65.85,64.45,64.41,64.1,1187509
2015-04-14,64.36,65.7,63.62,65.9,1314223
2015-04-15,65.16,66.98,66.2,65.87,1795996
2015-04-16,65.57,65.66,64.12,64.59,1063704
2015-04-17,64.15,64.27,65.22,65.31,1562936
2015-04-20,64.81,65.09,63.66,64.69,1707660
2015-04-21,67.58,69.77,65.0,68.26,4804809
2015-04-22,70.22,69.98,69.29,68.12,3691716
2015-04-23,69.95,70.31,68.91,67.92,2331518
2015-04-24,68.75,67.01,67.0,68.01,1834726
2015-04-27,67.57,69.82,68.37,67.73,2248027
2015-04-28,69.05,68.41,66.08,69.9,1725388
2015-04-29,68.51,70.0,66.68,67.47,1407186
2015-04-30,66.28,67.0,66.78,68.48,2052145
2015-05-01,67.8,69.0,67.58,66.96,1889363
2015-05-04,69.0,67.95,67.2,67.68,1537258
2015-05-05,68.48,67.29,67.14,67.72,1703325
2015-05-06,67.55,67.23,65.89,66.94,1383306
2015-05-07,65.77,67.08,66.84,68.93,1832372
2015-05-08,66.85,68.52,69.17,68.8,1817302
2015-05-11,66.64,70.01,68.4,67.37,1599547
2015-05-12,68.37,68.91,68.6,68.7,1120163
2015-05-13,68.81,67.35,66.19,69.82,1370854
2015-05-14,68.31,68.05,67.75,68.36,1482370
2015-05-15,70.07,68.09,67.7,66.46,1236343
2015-05-18,67.87,69.93,65.96,66.73,1663095
2015-05-19,68.99,67.23,65.1,66.36,1033441
2015-05-20,66.62,68.0,66.01,67.69,785121
2015-05-21,65.52,67.62,67.02,66.06,811540
2015-05-22,65.93,66.13,68.5,67.63,1256350
2015-05-26,67.6,67.18,65.1,66.51,2149871
2015-05-27,66.45,66.89,68.32,66.7,1572269
2015-05-28,69.03,67.3,65.54,67.92,1157165
2015-05-29,67.52,66.68,64.0,65.89,2403798
2015-06-01,66.93,65.15,64.68,66.61,1558702
