date,open,high,low,close,volume
2015-01-02,78.99,77.31,75.63,77.66,962249
2015-01-05,77.15,78.13,78.1,74.81,1374054
2015-01-06,75.9,75.79,74.92,76.95,1646065
2015-01-07,74.5,77.99,74.72,76.58,1626038
2015-01-08,77.06,78.58,75.17,79.0,1489718
2015-01-09,77.6,77.1,76.92,76.7,1194141
2015-01-12,77.83,76.94,74.98,75.95,1949650
2015-01-13,75.07,76.03,75.2,77.01,1496500
2015-01-14,75.39,77.78,76.42,77.62,1340071
2015-01-15,76.02,77.48,74.17,77.32,1590475
2015-01-16,74.0,74.65,75.3,74.78,1687559
2015-01-20,75.59,75.81,75.63,75.43,1625874
2015-01-21,76.86,76.4,74.09,76.22,2019171
2015-01-22,78.07,78.57,77.03,75.67,2324121
2015-01-23,75.73,75.92,74.9,74.2,3249965
2015-01-26,76.11,75.55,73.19,74.32,2414568
2015-01-27,72.54,73.0,73.44,72.31,3499379
2015-01-28,74.07,74.38,70.89,72.2,2766388
2015-01-29,71.9,72.61,71.69,74.19,2674807
2015-01-30,73.39,72.82,70.9,72.97,2430862
2015-02-02,73.09,73.58,72.25,74.53,3447899
2015-02-03,74.2,75.32,74.03,75.71,2246168
2015-02-04,74.89,76.7,72.47,75.83,2407372
2015-02-05,75.6,79.82,77.41,80.8,6440751
2015-02-06,79.19,83.39,81.86,82.58,5307830
2015-02-09,79.98,83.35,81.5,82.9,2775610
2015-02-10,80.48,81.04,79.6,81.08,2400339
2015-02-11,83.03,83.4,81.61,81.08,1802805
2015-02-12,81.2,84.56,80.6,81.78,1735966
2015-02-13,81.34,85.23,82.78,86.08,3815933
2015-02-17,84.08,82.57,84.8,83.75,2082128
2015-02-18,84.86,84.24,81.76,81.6,1336472
2015-02-19,84.34,82.8,83.68,84.74,1246845
2015-02-20,80.94,84.57,84.0,82.2,1259771
2015-02-23,84.76,85.3,81.56,84.28,1585459
2015-02-24,85.65,85.2,83.93,83.47,1181819
2015-02-25,82.32,84.48,84.28,83.11,1559861
2015-02-26,84.14,83.02,83.6,85.24,1860016
2015-02-27,83.18,86.21,84.5,85.56,1796313
2015-03-02,86.1,84.25,83.07,83.8,1800400
